Customer_ID,Customer_Name,City,Category,Product,Price,Quantity,Order_Date,Payment_Mode,Total_Sales
1001,Priya,Mumbai,Furniture,Table,3725,4,2026-01-01,UPI,14900
1002,Amit,Nanded,Clothing,Jacket,3615,3,2026-01-02,Cash,10845
1003,Vishal,Mumbai,Furniture,Table,6087,3,2026-01-03,Credit Card,18261
1004,Vishal,Nanded,Grocery,Tea,281,4,2026-01-04,Credit Card,1124
1005,Amit,Delhi,Clothing,Jacket,1773,2,2026-01-05,UPI,3546
1006,Sneha,Delhi,Clothing,T-Shirt,1199,4,2026-01-06,Debit Card,4796
1007,Rahul,Delhi,Grocery,Oil,143,3,2026-01-07,Credit Card,429
1008,Priya,Nanded,Furniture,Sofa,25843,3,2026-01-08,Credit Card,77529
1009,Sneha,Nanded,Grocery,Tea,174,5,2026-01-09,Credit Card,870
1010,Priya,Pune,Clothing,Jeans,2405,4,2026-01-10,UPI,9620
1011,Rahul,Nanded,Clothing,T-Shirt,1325,4,2026-01-11,Debit Card,5300
1012,Amit,Pune,Grocery,Rice,118,4,2026-01-12,Credit Card,472
1013,Amit,Mumbai,Grocery,Coffee,302,5,2026-01-13,Cash,1510
1014,Vishal,Delhi,Electronics,Tablet,23196,3,2026-01-14,Cash,69588
1015,Vishal,Mumbai,Clothing,T-Shirt,1074,5,2026-01-15,Cash,5370
1016,Priya,Mumbai,Electronics,Tablet,26835,5,2026-01-16,UPI,134175
1017,Rahul,Delhi,Clothing,Shoes,3697,5,2026-01-17,Debit Card,18485
1018,Vishal,Nanded,Furniture,Table,5424,1,2026-01-18,Credit Card,5424
1019,Amit,Delhi,Grocery,Coffee,287,5,2026-01-19,Credit Card,1435
1020,Rahul,Delhi,Furniture,Table,6775,1,2026-01-20,Cash,6775
1021,Rahul,Nanded,Grocery,Oil,191,1,2026-01-21,Credit Card,191
1022,Sneha,Mumbai,Clothing,Jeans,930,1,2026-01-22,Debit Card,930
1023,Vishal,Mumbai,Electronics,Headphones,9240,2,2026-01-23,Credit Card,18480
1024,Sneha,Mumbai,Electronics,Tablet,31627,1,2026-01-24,Debit Card,31627
1025,Vishal,Nanded,Electronics,Laptop,43788,5,2026-01-25,Cash,218940
1026,Vishal,Delhi,Electronics,Laptop,77578,3,2026-01-26,UPI,232734
1027,Vishal,Pune,Furniture,Bed,16297,2,2026-01-27,UPI,32594
1028,Sneha,Mumbai,Grocery,Tea,392,3,2026-01-28,Credit Card,1176
1029,Vishal,Mumbai,Furniture,Chair,3724,1,2026-01-29,UPI,3724
1030,Amit,Pune,Electronics,Headphones,5684,2,2026-01-30,UPI,11368
1031,Priya,Pune,Electronics,Laptop,52296,1,2026-01-31,Debit Card,52296
1032,Priya,Delhi,Grocery,Tea,320,2,2026-02-01,UPI,640
1033,Sneha,Nanded,Grocery,Tea,253,3,2026-02-02,Debit Card,759
1034,Priya,Pune,Furniture,Table,3487,1,2026-02-03,UPI,3487
1035,Vishal,Delhi,Electronics,Tablet,32319,5,2026-02-04,UPI,161595
1036,Vishal,Mumbai,Furniture,Bed,28758,5,2026-02-05,Debit Card,143790
1037,Sneha,Mumbai,Grocery,Coffee,320,5,2026-02-06,Debit Card,1600
1038,Rahul,Mumbai,Furniture,Sofa,47135,5,2026-02-07,Credit Card,235675
1039,Rahul,Pune,Furniture,Sofa,28027,1,2026-02-08,UPI,28027
1040,Sneha,Delhi,Grocery,Oil,143,5,2026-02-09,Credit Card,715
1041,Amit,Delhi,Electronics,Mobile,24925,3,2026-02-10,UPI,74775
1042,Rahul,Nanded,Electronics,Headphones,9615,2,2026-02-11,UPI,19230
1043,Rahul,Pune,Grocery,Coffee,224,1,2026-02-12,UPI,224
1044,Vishal,Mumbai,Furniture,Table,8837,4,2026-02-13,Cash,35348
1045,Amit,Delhi,Electronics,Mobile,48716,3,2026-02-14,Debit Card,146148
1046,Rahul,Pune,Grocery,Oil,178,1,2026-02-15,Cash,178
1047,Sneha,Pune,Electronics,Laptop,41837,4,2026-02-16,Cash,167348
1048,Priya,Pune,Clothing,Jeans,1385,5,2026-02-17,UPI,6925
1049,Priya,Delhi,Furniture,Table,8190,5,2026-02-18,UPI,40950
1050,Sneha,Delhi,Clothing,Jacket,3854,2,2026-02-19,Debit Card,7708
1051,Amit,Nanded,Electronics,Tablet,39178,1,2026-02-20,Debit Card,39178
1052,Vishal,Mumbai,Clothing,Jeans,2750,2,2026-02-21,Credit Card,5500
1053,Rahul,Nanded,Grocery,Oil,248,2,2026-02-22,Cash,496
1054,Rahul,Mumbai,Electronics,Mobile,13799,3,2026-02-23,UPI,41397
1055,Rahul,Mumbai,Furniture,Chair,2100,3,2026-02-24,UPI,6300
1056,Priya,Delhi,Grocery,Rice,109,4,2026-02-25,Cash,436
1057,Priya,Nanded,Electronics,Laptop,38690,2,2026-02-26,Debit Card,77380
1058,Vishal,Pune,Electronics,Mobile,38495,3,2026-02-27,Debit Card,115485
1059,Vishal,Nanded,Electronics,Laptop,68130,3,2026-02-28,UPI,204390
1060,Amit,Pune,Furniture,Table,9597,2,2026-03-01,UPI,19194
1061,Amit,Pune,Clothing,T-Shirt,327,4,2026-03-02,Debit Card,1308
1062,Priya,Mumbai,Clothing,Jeans,2043,3,2026-03-03,Cash,6129
1063,Sneha,Mumbai,Furniture,Table,6704,2,2026-03-04,Credit Card,13408
